PruningDensity,PruningType,Accuracy,NonZeros,TimeStamp,CompressionTime
0.98,neuron,78,5792747,04/04/2023 15:48:53,0.0
0.96,neuron,79,5699532,04/04/2023 16:01:21,7341.533
0.94,neuron,79,5594029,04/04/2023 18:07:09,6945.603
0.92,neuron,82,5497742,04/04/2023 20:06:18,6868.739
0.9,neuron,79,5401455,04/04/2023 22:04:21,6885.958
0.88,neuron,76,5283664,05/04/2023 00:02:39,7019.24
0.86,neuron,77,5181233,05/04/2023 02:03:08,6938.431
0.84,neuron,78,5072658,05/04/2023 04:02:15,6917.496
0.82,neuron,79,4964083,05/04/2023 06:00:56,6822.832
0.8,neuron,81,4846292,05/04/2023 07:58:00,6699.022
0.78,neuron,75,4737717,05/04/2023 09:53:04,6708.496
0.76,neuron,76,4635286,05/04/2023 11:48:26,6764.722
0.72,neuron,74,4419161,05/04/2023 23:22:05,7014.821
0.7,neuron,78,4307514,06/04/2023 01:22:30,6740.993
0.68,neuron,76,4205083,06/04/2023 03:18:17,6825.131
0.66,neuron,76,4096508,06/04/2023 05:15:36,6802.703
0.64,neuron,77,3987933,06/04/2023 07:12:28,6877.32
0.62,neuron,79,3882430,06/04/2023 09:10:30,6758.041
0.6,neuron,79,3767711,06/04/2023 11:06:30,6781.729
0.58,neuron,78,3668352,06/04/2023 13:02:56,6785.719
0.56,neuron,77,3562849,06/04/2023 14:59:28,6588.184
0.54,neuron,77,3469634,06/04/2023 16:52:40,6693.508
0.52,neuron,81,3364131,06/04/2023 18:47:45,6647.407
0.5,neuron,79,3256581,06/04/2023 20:42:04,6782.72
