PruningDensity,PruningType,Actual,Predicted,Zero,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
0.1,neuron,1,1,-866.45,-0.05,-1298.0,-1531.14,-1176.21,-1137.18,-890.79,-997.71,-893.89,-1743.21
0.099,neuron,1,1,-729.88,-0.19,-891.45,-1041.92,-1186.48,-835.25,-762.15,-828.5,-929.05,-1956.32
0.098,neuron,1,1,-661.82,-0.15,-1208.87,-1332.28,-1180.06,-965.21,-973.35,-1135.53,-1304.65,-1874.68
0.097,neuron,1,1,-713.87,-0.32,-826.4,-1116.55,-972.21,-912.22,-742.55,-795.6,-693.35,-1604.97
0.096,neuron,1,1,-701.34,-0.11,-1218.65,-1374.79,-1123.89,-1256.86,-927.4,-980.8,-1015.51,-1809.37
0.095,neuron,1,1,-767.14,-0.2,-1087.45,-1030.29,-1302.55,-1119.9,-684.99,-952.32,-793.27,-1712.7
0.094,neuron,1,1,-698.12,-0.14,-1290.21,-1341.79,-934.07,-948.91,-878.61,-1097.81,-891.45,-1566.0
0.093,neuron,1,1,-898.04,-0.05,-1012.19,-1263.34,-1151.44,-1460.01,-803.37,-1340.16,-1098.18,-1864.83
0.092,neuron,1,1,-689.85,-0.13,-1177.12,-1508.63,-1017.81,-962.88,-987.32,-1327.72,-948.0,-2174.53
0.091,neuron,1,1,-1067.67,-0.02,-1103.48,-1137.56,-1210.42,-1284.91,-942.52,-1316.58,-930.84,-1804.88
0.09,neuron,1,1,-690.2,-0.62,-1060.08,-1203.25,-897.55,-914.0,-541.59,-1241.31,-763.64,-1583.32
0.089,neuron,1,1,-1157.07,-0.01,-1132.04,-1292.39,-1261.3,-1304.4,-978.15,-1119.32,-1046.75,-2284.14
0.088,neuron,1,1,-860.17,-0.24,-1036.56,-1147.38,-923.9,-924.1,-701.49,-1132.51,-688.19,-1758.12
0.087,neuron,1,1,-1008.59,-0.19,-942.74,-995.72,-1006.11,-1030.72,-677.91,-1223.05,-763.83,-1757.58
0.086,neuron,1,1,-680.17,-0.34,-1069.63,-1129.7,-1149.52,-1241.95,-627.96,-867.54,-852.52,-1940.88
0.085,neuron,1,1,-844.5,-0.28,-1020.63,-797.66,-956.26,-1162.36,-816.29,-1274.57,-628.84,-1467.4
0.084,neuron,1,1,-663.9,-0.65,-843.04,-971.77,-981.94,-883.25,-675.12,-957.85,-565.49,-1564.37
0.083,neuron,1,1,-1039.09,-0.13,-1169.49,-1113.62,-1213.45,-1087.35,-739.93,-1129.11,-737.76,-1464.66
0.082,neuron,1,1,-985.14,-2.19,-872.31,-689.03,-540.22,-1297.81,-1030.79,-1029.68,-414.25,-1099.72
0.081,neuron,1,1,-863.99,-0.28,-989.68,-757.58,-805.63,-1034.61,-723.38,-1129.21,-693.36,-1005.76
0.08,neuron,1,1,-810.17,-0.1,-845.18,-1328.09,-1082.37,-1219.56,-824.43,-1207.33,-881.41,-2308.62
0.079,neuron,1,1,-767.01,-2.67,-622.71,-639.33,-587.64,-1301.77,-607.1,-1066.05,-406.7,-1244.65
0.078,neuron,1,1,-869.51,-1.71,-667.38,-696.91,-715.8,-1259.18,-725.36,-687.17,-441.85,-1071.37
0.077,neuron,1,1,-863.91,-0.24,-1079.05,-1244.56,-666.69,-1331.6,-724.6,-998.71,-905.37,-2017.9
0.076,neuron,1,1,-737.98,-16.72,-433.27,-471.67,-339.88,-1179.54,-706.55,-1039.68,-237.29,-559.43
0.075,neuron,1,1,-765.54,-0.95,-628.05,-802.24,-885.4,-1380.94,-859.22,-1214.42,-504.47,-1206.73
0.074,neuron,1,1,-771.73,-5.55,-577.59,-698.81,-582.94,-919.42,-441.96,-689.85,-339.86,-1027.27
0.073,neuron,1,1,-614.72,-0.7,-765.6,-1027.13,-588.22,-1125.31,-676.87,-1096.15,-790.95,-1451.13
0.072,neuron,1,1,-1102.9,-6.93,-705.05,-460.48,-352.46,-903.03,-642.22,-931.78,-373.49,-701.26
0.071,neuron,1,1,-623.33,-8.69,-394.21,-577.23,-562.41,-1064.15,-677.6,-728.06,-294.14,-764.92
0.07,neuron,1,1,-830.44,-4.69,-708.53,-623.0,-632.31,-1228.82,-886.11,-713.61,-322.35,-832.28
0.069,neuron,1,1,-810.22,-0.91,-627.97,-860.9,-894.74,-1067.97,-794.99,-741.49,-518.23,-1571.3
0.068,neuron,1,1,-533.16,-15.82,-332.16,-311.62,-412.18,-929.07,-748.84,-1018.43,-314.0,-702.26
0.067,neuron,1,1,-587.28,-70.66,-332.85,-539.13,-116.44,-1454.57,-755.09,-449.89,-197.0,-829.79
0.066,neuron,1,1,-890.84,-10.53,-567.42,-731.86,-236.98,-930.5,-743.52,-661.11,-855.45,-1192.37
0.065,neuron,1,3,-759.55,-202.41,-280.17,-23.57,-770.78,-1216.29,-693.15,-1092.57,-418.69,-1263.64
0.064,neuron,1,1,-440.42,-58.87,-197.91,-140.69,-391.05,-1198.71,-743.23,-1132.22,-381.47,-496.97
0.063,neuron,1,1,-544.54,-12.2,-370.03,-456.81,-844.15,-1190.09,-744.52,-1066.83,-259.64,-979.63
0.062,neuron,1,1,-278.53,-37.71,-466.32,-145.96,-654.87,-987.14,-520.5,-1050.2,-560.31,-1719.4
0.061,neuron,1,1,-570.89,-7.65,-318.38,-746.04,-428.91,-1349.18,-795.34,-556.14,-458.31,-835.86
0.06,neuron,1,1,-378.34,-11.54,-429.85,-650.66,-887.43,-1311.3,-270.68,-717.98,-566.57,-1741.09
0.059,neuron,1,1,-257.49,-12.86,-491.99,-507.71,-484.45,-1076.07,-396.0,-689.22,-581.93,-1626.23
0.058,neuron,1,4,-946.82,-134.91,-373.58,-466.2,-40.29,-1302.8,-1040.48,-515.03,-433.05,-392.36
0.057,neuron,1,4,-834.26,-172.69,-323.11,-220.12,-44.05,-1121.48,-769.62,-392.52,-518.93,-609.17
0.056,neuron,1,1,-698.96,-60.83,-225.21,-178.39,-261.51,-1380.71,-926.11,-271.98,-326.53,-544.31
0.055,neuron,1,1,-803.64,-126.77,-450.26,-139.53,-156.04,-1008.39,-639.91,-202.38,-224.28,-467.92
0.054,neuron,1,4,-630.42,-202.73,-361.29,-229.79,-44.2,-1184.58,-606.59,-469.61,-278.09,-377.72
